"key","English","Simplified Chinese","Spanish"
"about_title","About","关于","Acerca de"
"app_title","SMC Flu Clinics","SMC Flu Clinics","SMC Flu Clinics"
"button_back","Back","返回","Regreso"
"button_view_map","View map","查看地图","ver el mapa"
"clinic_dates","Clinic Dates and Times","诊所的日期和时间","Fechas Clínica y Tiempos"
"clinic_title","Clinic Details","门诊的详细情况","Clínica Detalles"
"credits_data","Data provided courtesy of the County of San Mateo Open Data Portal","提供的数据显示礼貌County of San Mateo Open Data Portal的","Datos proporcionados por cortesía del Condado de San Mateo Abrir Portal de Datos"
"credits_developer","Developed by Greg Gladman, Richard Reitmeyer","通过GregGladman,Richard Reitmeyer开发","Desarrollado por Greg Gladman, Richard Reitmeyer"
"credits_icons","Map icons courtesy of Maps Icons Collection","地图图标礼貌Maps Icon Collection的","Mapa iconos cortesía de Mapas Icons Collection"
"credits_thanks","Special thanks to John Ridener and the members of the SMS Civic Tech Meetup.","特别感谢John Ridener和SMS Civic Tech Meetup的成员。","Un agradecimiento especial a John Ridener y los miembros de la SMS Civic Tech Meetup."
"eligibility","Eligibility","合格","elegibilidad"
"cost","Cost","合格","Coste"
"menu","Menu","选择","elecciones"
"more_info","More information about flu vaccination clinics can be found on the San Mateo County Health System site:","关于流感预防接种门诊的更多信息，可以在圣马刁县卫生系统网站上找到","Más información sobre las clínicas de vacunación contra la gripe se puede encontrar en la página web del Sistema de Salud del Condado de San Mateo"
"pick_date_3days","Next 3 days","未来三天","Próximos tres días"
"pick_date_all","All time","所有时间","Todo el tiempo"
"pick_date_future","All future","所有未来","Todo futuro"
"pick_date_month","Next month","下个月","El mes que viene"
"pick_date_title","Search dates:","搜索日期","Buscar fechas:"
"pick_date_today","Today","今","hoy en día"
"pick_date_week","Next week","下周","La semana que viene"
"pick_lang_title","Language:","语言","idioma"
"version","Version 0.6","版 0.6","Versión 0.6"
